Segment,JSD
1,0.6974119896441499
2,0.7169554781652302
3,0.7795006726494509
4,0.6847517237862503
5,0.7083169413972354
6,0.6496890619819402
7,0.6110340304776025
8,0.5856324531703225
9,0.5667144663043097
10,0.5838397905463742
11,0.6342445105327452
12,0.6486974390145929
13,0.5682936234443875
14,0.6157891467988739
15,0.5501919731479048
16,0.6489805147315587
17,0.6331613230204822
18,0.6092528375720255
19,0.6521228668280947
20,0.643869044874996
21,0.5599698412552131
22,0.3953352349655558
23,0.6585757947451879
24,0.6329855405678738
25,0.626658547498008
26,0.6230691092017396
