ID,Story,Characters,Tokens,Segments,JSD Avg,JSD Dev,JSD Avg Run,JSD Std Run
1,Rumpelstiltskin,6255,1151,9,0.5311391701169235,-0.045321423818559414,0.5764605939354829,0.023526829553656564
2,Rapunzel,7689,1429,12,0.5603512605622445,-0.016109333373238388,0.5764605939354829,0.023526829553656564
3,Aschenputtel,15189,2758,22,0.5660453827319264,-0.010415211203556485,0.5764605939354829,0.023526829553656564
4,Little Red-cap,7712,1368,12,0.6014658756956828,0.025005281760199893,0.5764605939354829,0.023526829553656564
5,The Sleeping Beauty,7299,1324,9,0.5948969257328585,0.018436331797375582,0.5764605939354829,0.023526829553656564
6,Hansel and Grethel,15994,2911,23,0.5804799134586731,0.0040193195231902346,0.5764605939354829,0.023526829553656564
7,Snow-white,17165,3112,23,0.5668086888830566,-0.009651905052426302,0.5764605939354829,0.023526829553656564
8,The Golden Goose,8951,1659,12,0.5556166611260349,-0.020843932809447963,0.5764605939354829,0.023526829553656564
9,The Wolf and the Seven Kids,5843,1070,9,0.5968939953628537,0.020433401427370823,0.5764605939354829,0.023526829553656564
10,The Frog Prince,7837,1445,11,0.6109080656845743,0.03444747174909146,0.5764605939354829,0.023526829553656564
